Sentence Num	English Sentence	Spanish Sentence	Judgment [0-5]
19	Tonji , minister of the Myanmaran Ministry of Trade , and Gerson Gersoncy , minister of the Ministry of Foreign Affairs of Thailand , signed the agreement on behalf of each country respectively .	Dijo que estaba de acuerdo con la opinión de Huaqing Liu de que Tailandia y China deberían seguir desarrollando diversas formas de cooperación económica y comercial.	3
20	Xinhua News Agency , Beijing , March 18th	Agencia de noticias Xinhua, Pekín, 1 de septiembre	3
21	Xinhua News Agency , Beijing , March 23rd , by reporter Wen Chao	Agencia de noticias Xinhua, Bishket, 23 de abril, por los periodistas Menjun Jun y Xiaoguang Hu	3
22	He said that , now Kirghizia was at the phase of economic reform and paid much attention to strengthening economic connections with China and using the experiences of China for reference , including the experiences of China 's agricultural reform .	Los seis documentos son: un acuerdo para que China otorgue un préstamo al gobierno de Kirguistán, un acuerdo para formar un Comité de economía y comercio combinado entre los gobiernos sino-kirguisos, una nota de intercambio sobre la presentación de materiales a Kirguistán por parte de China, un acuerdo de cooperación cultural entre los dos países de China y Kirguistán, catas de ratificación sobre el intercambio de tratados consulares entre los dos países, un acuerdo de cooperación en el Consejo de promoción del comercio de China y la Cámara de industria y comercio de Kirguistán.	3
23	2002-01-23	2008-11-14	4
24	Iran (IR); Afghanistan (AF); Pakistan (PK)	Irán (IR); Federación de Rusia (RU); China (CN); Francia (FR); Estados Unidos (EE.UU.)	4
25	My fellow citizens, ours is ours, what need is there to negotiate! Japan thus goes even further - wants to create a fact of occupation. Can we allow this? No - absolutely not!	¡Mis conciudadanos, nuestro es nuestro, qué necesidad hay de negociar! Japón va aún más lejos, quiere crear un hecho de ocupación. ¿Podemos permitir algo así? ¡De ninguna manera!	4
26	Especially China suffered the ravages of Japan for as long as several decades.	Especialmente China sufrió los estragos de Japón durante décadas.	4
27	Although it is painful to look back at these hundred years of shame, we must go face it; although historical issues have not been resolved, let us create and choose history!	Aunque es doloroso mirar hacia atrás a esos cien años de vergüenza, debemos enfrentarlo; aunque los problemas históricos no se hayan resuelto, ¡creemos y elijamos la historia!	4
28	My fellow citizens, for the Chinese nation, the advent of the twenty-first century means a time when we are beset with difficulties inside while being pressed from outside, and we will face many challenges.	Mis conciudadanos, para la nación china, el advenimiento del siglo veintiuno significa un momento en el que nos vemos acosados por dificultades dentro de nosotros mientras nos presionan desde fuera, y nos enfrentamos a muchos desafíos.	4
29	Iran articulated the goal of 50000 centrifuges operating at the enrichment plant near the town of Natanz.	Irán articuló el objetivo de 50.000 centrífugas operando en la planta de enriquecimiento cerca de la ciudad de Natanz.	5
30	(Fin)	( End )	5
31	Resolutely support the thread starter! I compose a poem in reply:	¡Respalde firmemente el inicio del hilo! Escribo un poema en respuesta:	5
32	Pledge to fight to the death defending the Diaoyu Islands and the related islands	Comprométase a luchar hasta la muerte defendiendo las islas Diayu y las islas relacionadas	5
33	Fleets bumping fishing boats. Little evil Japanese ghosts stirring up trouble and unrest. With hearts of thieves and arrogant form, they again show their wolfish appearance	Las flotas chocan contra los barcos de pesca. Pequeños fantasmas malvados japoneses provocan problemas y disturbios. Con corazones de ladrones y forma arrogante, muestra de nuevo su aspecto lobuno	5
34	Never go back to that time, our humiliating appearance when signing the treaties. China be strong, swords be sharp and knives be shining, let's bury the approaching enemies!	Nunca regresemos a esa época, nuestra humillante apariencia al firmar los tratados. China se fuerte, con las espadas afiladas y los cuchillos brillantes, ¡enterremos a los enemigos que se aproximan!	5
35	September 11th, 2010	11 de septiembre de 2010	5
36	I agree with the analysis of the thread starter, resolutely bump up. If war really comes, I would like to be Hua Mulan, to protect our home and defend our homeland, to spread the prestige of our China, to pledge to fight to the death defending our national dignity.	Estoy de acuerdo con el análisis del iniciador del hilo, resueltamente es un aumento. Si la guerra realmente llegara, me gustaría ser Hua Mulan para proteger nuestro hogar y defender nuestra patria, para difundir el prestigio de nuestra China, para comprometernos a luchar a muerte defendiendo nuestra dignidad nacional.	5
37	I very much wish I had been born in those passionate and upsurging times of Mao Zedong, the Long March, losing my head and shedding my blood, completely extinguishing all the enemies that wrong China, spreading our dragon prestige!	Ojalá hubiera nacido en aquellos tiempos apasionantes y de revueltas de Mao Zedong, la Larga Marcha, perdiendo la cabeza y derramando mi sangre, extinguiendo por completo a todos los enemigos que perjudican a China, ¡extendiendo el prestigio de nuestro dragón!	5
38	How Long are We Going to Tolerate Japan?	¿Cuánto tiempo vamos a tolerar a Japón?	5
39	My fellow citizens:	Conciudadanos:	5
40	Hello, everyone! We all know the "September 18th" Incident, but now Japan again has a premeditated plan for another "September 18th" on the sea, another "Lugou Bridge on the sea".	¡Hola a todos! Todos conocemos el incidente del 18 de septiembre, pero ahora Japón nuevamente tiene un plan premeditado para otro 18 de septiembre en el mar, u otro Puente Lugou en el mar.	5
41	Japan surprisingly defied the strong condemnation of the whole world, openly invaded our country's sacred territory, "the Diaoyu Islands".	Japón desafió sorprendentemente la fuerte condena del mundo entero, invadió abiertamente el territorio sagrado de nuestro país, las Islas Diaoyu.	5
42	As we all know, the "Diaoyu Islands" have always belonged to China; due to historical reasons, what originally belongs us has become controversial.	Como todos sabemos, las Islas Diaoyu siempre han pertenecido a China; debido a razones históricas, lo que originalmente nos pertenece se ha vuelto controvertido.	5
43	My fellow citizens, Japan's militarism has brought the people of Asia grave disasters.	Mis conciudadanos, el militarismo de Japón ha traído al pueblo de Asia grandes desastres.	5
44	In the Northeast, Japanese Unit 731 cruelly conducted human body experiments on living people of China, Korea and other countries, the method of which were extremely brutal; the Nanjing Massacre added a layer of blood to the ancient capital which will never fade away; the big bloody battles at Hengyang and Changsha laid bare the bones of the dead over a thousand kilometers and killed off everything ...	En el noreste, la Unidad japonesa 731 llevó a cabo crueles experimentos con cuerpos humanos en personas vivas de China, Corea y otros países, cuyo método fue extremadamente brutal, la masacre de Nanjing añadió una capa de sangre a la antigua capital que nunca se desvanecerá, las grandes batallas en Hengyang y Changs desnudaron los huesos de los muertos a más de mil kilómetros y lo mataron todo.	5
45	My fellow citizens, of the heinous crimes committed by Japan in China, there are too many instances to cite, difficult to record without exhausting all bamboo strips.	Mis conciudadanos, de los atroces crímenes cometidos por Japón en china, hay demasiados casos para citar, difíciles de registrar sin agotar todas las  tiras de bambú.	5
46	It's just as if those ten million deceased souls who lost their lives are wandering over the Pacific Ocean, finding it difficult to rest in peace.	Es como si esos diez millones de almas muertas que perdieron la vida vagaran por el océano Pacífico, encontrando difícil descansar en paz.	5
47	All the people who experienced that era must still remember it vividly; even our younger generations also will cry with tears streaming down our cheeks, and our blood boils with indignation, whenever we turn to this page of history and read!	Todas las personas que experimentaron esta época todavía deben recordarla vívidamente; incluso nuestras generaciones más jóvenes lloran, las lágrimas recorren sus mejillas, y nuestra sangre hierve con indignación cada vez que pasamos a esta página de la historia y leemos.	5
48	Now Japan actually wants to reverse the verdict on the history of its aggression - fellow citizens, fellow Chinese in Asia, wake up!	Ahora Japón quiere revertir el veredicto sobre la historia de su agresión, conciudadanos, compañeros chinos en Asia, ¡despierten!	5
49	Since there is responsibility, we are not afraid. The territory is small, but it is related to the matter of dignity; no matter how the winds and clouds changes, the interests of the country and national unity are the guarantee of honor; even though scarred with wounds, we can not let our native lands be separated!	Como hay responsabilidad, no tenemos miedo. El territorio es pequeño, pero está relacionado con el tema de la dignidad, no importa cómo cambien los vientos y las nubes, los intereses del país y la unidad nacional son la garantía de honor; aunque esté lleno de heridas, ¡no podemos dejar que nuestras tierras natales se separen!	5
50	The Taiwan issue, the Tibet issue, the South China Sea issue, the surrounding environment, as well as the foreign forces which are aggressive to China - which way should we go?	El problema de Taiwán, el problema de Tíbet, el problema del mar del Sur de China, el entorno de nos rodea, así como las fuerzas agresivas con China, ¿por dónde debemos ir?	5
51	What to do, fellow citizens? Please take a look at the map of the world, that crescent-shaped encirclement is suppressing our breathing, strangling our development, and coveting our national territory.	¿Qué hacemos conciudadanos? Por favor, eche un vistazo al mapa del mundo, ese cerco en forma de medialuna reprime nuestra respiración, estrangulando nuestro desarrollo y codiciando nuestro territorio nacional.	5
52	Most of the attacks are carried out by Pakistan-based former Taliban members sent into Afghanistan and funded by drug smuggling operations or supporters in Pakistan.	Los informes de prensa difieren en la cantidad de centrífugas citadas por Ahmadinejad.	0
53	Afghanistan's Interior Minister Ali Ahmad Jalali stated that Taliban and remaining al-Qaeda militants are not capable of destabilizing the Afghan government despite their increased attacks on government and foreign targets.	Una agencia de noticias iraní informó que Ahmadinejab declaró que Irán tenía 6.000 centrífugas en funcionamiento, pero la agencia posteriormente eliminó la declaración de Internet.	0
54	US President George W. Bush raised the US's concerns about Russian nuclear cooperation with Iran at the summit in Moscow last month between Bush and his Russian counterpart Vladimir Putin.	El experto en control de armamento, Jeffrey G. Lewis, del nuevo grupo de reflexión de la Fundación América declaró que la Fundación estaba al tanto del objetivo de Irán de montar 6.000 centrífugas, pero se desconoce el estado operativo de las máquinas.	0
55	Iran is a major transit point between drug producers in Afghanistan and Pakistan and the markets of Europe and the Gulf.	Diplomáticos y expertos en control de armas declararon que el programa de enriquecimiento iraní se ve obstaculizado por problemas técnicos.	0
56	Iranian law states the death penalty for drug trafficking.	Un paquete respaldado por los Estados Unidos de incentivos para cesar la producción de uranio enriquecido	0
57	Iranian Foreign Minister Kamal Kharazi stated the meeting must reinforce the friendship and speed up regional cooperation between Iran, Pakistan and Afghanistan.	20080726 durante las conversaciones en Ginebra a las que asistió el subsecretario de Estado de Estados Unidos, Williams J. Burns, Israel se negó a responder a las ofertas de Solana.	0
58	The People's Mujahedeen has been classified by the United States, the European Union and Iran as a terrorist organization.	Las conversaciones constituyeron el contacto diplomático de más alto nivel entre Estados Unidos e Irán durante casi 30 años.	0
59	Iran's state news agency IRNA reported 23 January 2002 that Iranian security forces killed 21 drug traffickers and arrested more than 1600 in operations in the east and south of Iran in recent days.	Solana, Burns y los enviados europeos fijaron un plazo para que Irán respondiera positivamente antes de iniciar nuevas sanciones, incluidas prohibiciones para vender productos refinados de petróleo de Irán, vitales para la economía del país.	0
60	The United States and some European nations believe that Iran's nuclear projects are for the purpose of making nuclear weapons.	20080726 Ahmadinejad pareció sugerir que Irán podría detener la expansión en un número mayor de centrífugas que se esperaba anteriormente y durante más de 6 semanas.	0
61	According to the Nuclear Suppliers Group's mission statement countries act on an individual basis to block trades that violate export controls devised to maintain international cooperation on peaceful uses of nuclear energy.	Ahmadinejad declaró que Occidente había dado su consentimiento a las 5.000/6.000 centrífugas existentes en funcionamiento, siempre que el número no aumentara.	0
62	North Korean officials refused to proceed with a February 2007 agreement to begin decommissioning the Yongbyon reactor until funds worth 25 million dollars in accounts linked to North Korea held in a Macao Bank were transferred to North Korea.	5.000 centrífugas pueden producir suficiente material nuclear para una planta de energía o una bomba atómica si el material es altamente enriquecido.	0
63	Hill stated the shutdown could occur in a matter of weeks not months.	6.000 centrífugas que funcionan continuamente pueden producir suficiente uranio con grado armamentístico para una bomba en seis meses.	0
64	Iranian army arrests 1600 drug traffickers, kills 21, and seizes 6 tons of drugs and weapons in large-scale operation along its borders with Afghanistan and Pakistan.	200805000 la Agencia Internacional de Energía Atómica declaró que Irán poseía 3.500 centrífugas en funcionamiento.	0
65	Dr. Holmes , vice president of the American Traditional Foundation , and Clowich , vice president of the Dow - Jones Company led a high level delegation comprised of the Traditional Foundation and the " Wall Street Journal " to submit the results of the report to Jianhua Dong this morning .	Chavalit dijo que estaba muy contento de conocer al vicepresidente Liu.	0
66	Banharn Silpa - Archa , prime minister of Thailand , who arrived at Myanmar this morning to pay a visit , and Than Shwe , chairman of the State Law and Order Restoration Council and prime minister of Myanmaran government , chaired the signing ceremony .	Dijo que en los últimos años, el desarrollo de la economía de China se ha acelerado y el gobierno y el pueblo de Tailandia se sienten extremadamente felices.	0
67	The results of today 's preliminary women 's water - polo competition are : the Hungarian team defeated the Canadian team by 13 : 7 , the French team defeated the Brazilian team by 10 : 9 , the Australian team defeated the German team by 10 : 8 , the Russian team defeated the Dutch team by 7 : 6 , the US team defeated the Kazakhstani team by 10 : 5 , and the Italian team defeated the New Zealand team by 12 : 2 .	Guofang Shen, el portavoz del ministro de Asuntos Exteriores, anunció en una conferencia de prensa celebrada esta tarde que el presidente Gentzs Aerpade de la República de Hungría, realizaría una visita de Estado a China, del 14 al 17 de septiembre por invitación del presidente Zemin Jiang.	0
68	However, there are fascinating and very unique aspects of these walking marriages.	Tengo 24 años y soy madre de un niño de 2 años y medio.	0
69	And what if they have a baby? In general, fathers have little or no responsibility for children produced from such unions;	Tiene demasiadas cosas en su vida en este momento y cree que podemos arreglarlo cuando ya le he dicho demasiadas veces que no le quiero y que él tampoco me quiere.	0
70	However, that does not mean that the men have no responsibility...it is just that the focus of that responsibility is shifted.	Pero él no tiene a nadie, su familia y él no se llevan bien y tienen sus propios problemas.	0
71	In most cultures, a man will be responsible to care for his own children;	No quiero volver a ser miserable y cuanto más tiempo mase, más miserable seré.	0
72	If the matriarch accepts him, he is then an 'honorary member' of the family, and has the right to visit and/or stay there like any other family member, and to help raise the child.	¿Qué debo hacer para seguir con mi vida?	0
73	However, this is not a frequent practice.	Tu ex te amenaza con usar a tu hijo... malo, malo, malo.	0
74	Although this sounds very strange at first, it actually provides remarkable stability for the children.	No puedo ceder, o esto escalará.	0
75	First, they are not raised by just one parent; everyone in the family shares in parental duties, so the child really ends up having multiple father and mother figures.	Tienes derecho a vivir tu propia vida y ser feliz, así que no te rindas ante sus amenazas.	0
76	Furthermore, if the mother and father end their relationship, there is virtually no impact or stress for the child.	Si realmente ama a su hijo, lo verá independientemente de eso, pero esto solo es un método de control típico que usan las personas como él.	0
77	There's no fighting over splitting property, because they never shared property.	Otros dicen cosas como «Voy a suicidarme si me dejas»... ¿entiendes?	0
78	There's no fighting over custody of the child, because the child never belonged to the father to begin with.	Fecha.	0
79	The mother's relationships with different men may change, but it has little or no effect on the children.	Conoce a todo tipo de personas.	0
80	One more thing I'd like to point out. While this system actually works very effectively for the Mosuo, it works ONLY in a situation where there is a large extended family to provide support.	Haz lo que quieras.	0
81	For those Mosuo men and women who leave home to live/work on their own in other cities, they almost always choose more traditional marriage.	Si sale voluntariamente de vuestras vidas, probablemente esté mejor sin él.	0
82	After all, caring for a baby without its father when you have 20 other people in your home to help you is one thing;	Estoy de acuerdo, otra cosa es que no sea de su incumbencia si sales o no.	0
83	caring for a baby without its father when you live by yourself is another matter entirely.	No se lo diría.	0
84	For more information about the Mosuo, their culture, and our work with them, you can check out our organization's website. And I welcome questions and comments about this, or other aspects of Mosuo culture.	No por su amenaza, sino porque tu vida personal no es de su incumbencia.	0
85	While their way of life holds no particular allure to me (my job consists of sitting, writing on paper and thinking about things, I am allergic to horses, my greatest joy is my western traditional family of my wife and 2 daughters) I applaud your efforts to provide as unobtrusive assistance to these people as possible.	¿Puedes documentar sus amenazas?	0
86	Iranian President Mahmoud ahmadinejad stated to scholars in the northeastern city of mashbad that Iran had expanded its arsenal of centrifuges producing enriched uranium to over 5000.	Irán rechaza el compromiso de detener la expansión, pero insinúa una posible paralización futura.	1
87	On January 17, 2002 a state radio reported that thirteen drug traffickers were killed and 10 arrested in Iran anti-drug sweeps.	Otra agencia de noticias iraní declaró que Ahmadinejad se refirió a cientos de miles de centrífugas.	1
88	The United States and Israel fear that the Russian-Iranian nuclear cooperation could enable Tehran to acquire the technology needed to build nuclear weapons.	Un diplomático occidental en Teherán que habló bajo la condición del anonimato, declaró que la cantidad de centrífugas es menos importante que si las máquinas son operativas y eficientes, pero que la afirmación de Ahmadinejad obstacularizará la resolución del enfrentamiento diplomático entre Irán y Occidente.	1
89	Iranian opposition group accused Iran of building banned uranium enrichment sites as part of a nuclear weapons program with goal of altering power balance in region.	Irán ha afirmado repetidamente que su programa nuclear apunta a producir únicamente electricidad, porque la producción de armas nucleares contradice los principios islámicos.	1
90	The Times reported that Israeli government rejected both requests and that Israeli government stated the Ofek-5 could not be moved from the satellite's Iran-Syria-Iraq trajectory and the Arrow was still being developed.	Estados Unidos, Israel, Europa y la mayoría de expertos en control de armas occidentales cree que Irán está buscando la capacidad de producir bombas de inmediato en caso de una decisión.	1
91	A list from the Nuclear Suppliers Group shows that Iran has been denied purchases of nuclear-related materials approximately 75 times since 1998 because of suspicions the purchases could have been used for building bombs.	Los expertos afirmaron que producir uranio de grado armamentístico a partir de materiales de grado de reactor es relativamente simple.	1
92	Ecological organization Greenpeace stated on June 21, 2002 that Russia helped Iran to develop nuclear weapons by building Iran's Bushehr atomic power station.	Ahmadinejad declaró que después de que Irán resistiera las demandas de Occidente para un alto en las actividades nucleares, Occidente aún persigue la reanudación de las negociaciones.	1
93	20080726 during talks in Geneva attended by US Undersecretary of State William J. Burns Iran refused to respond to Solana's offers.	Los funcionarios estadounidenses declararon en repetidas ocasiones que no pueden iniciarse negociaciones antes de que Irán ponga fin de manera verificable a todas las actividades relacionadas con el enriquecimiento, pero el gobierno de Bush acordó recientemente la propuesta de «congelación por congelación» y envió a Burns a Ginebra.	1
94	In December 2002 police announced than an armed corps with Afghanistan, Pakistan and Turkmenistan was being assembled specifically to combat drug trafficking along Iran's borders.	Una reunión diplomática en París concluye sin un acuerdo sobre los pasos adicionales para presionar a Irán para detener el enriquecimiento de uranio en las instalaciones de Irán en Natanz.	1
95	Nakamura thought that the rate of economic growth of Asia 's countries and regions , with Korea and Thailand being the most prominent , would slide downward to a large extent .	Al reunirse hoy con Chavalit Yoncayu, viceprimer ministro y ministro de Asuntos Internos de Tailandia, en la Casa de huéspedes del Estado de Diaoyutai, Huaqing Liu, vicepresidente de la Comisión militar central, dijo que China otorga una gran importancia al desarrollo de la amistad con el gobierno, el pueblo y las fuerzas armadas de Tailandia, especialmente la cooperación económica y comercial entre los dos países.	1
96	The picture showed Premier Peng Li visiting Malacca State	También anunció que Casymier Auye Muba, primer ministro de la República de Gabón, realizará una visita formal y amistosa a China del 6 al 11 de septiembre por invitación de Peng Li, primer ministro del Consejo de Estado.	1
97	On the invitation of Prime Minister Mahathir of Malaysia , Premier Peng Li arrived in Malaysia on the afternoon of December 10th , 1990 to carry out a friendly official visit .	Por invitación de Peng Li, primer ministro del Consejo de Estado y primer vicepresidente de la República Unida de Tanzania, John Malsela hará una visita oficial a China del 9 al 13 de septiembre.	1
98	The man will continue to live in his family's home, and his responsibilities are to that family; while the woman will continue to live her her home, and be responsible to her family.	Quiero empezar a salir con otras personas y el padre de mi hijo dice que si lo hago no tendrá nada que ver con su hijo.	1
99	The man will visit her at night, but the rest of the time they generally live separate lives.	Es muy posesivo y controlador, pero no tiene derecho a ser así porque ya no estamos juntos.	1
100	If that is the case, after the child is born, the father will go to the mother's home, and present the family matriarch with gifts, asking to be accepted as the father.	Pero él piensa que si él no puede tenerme, nadie puede.	1
