Sentence Num	English Sentence	Chinese Sentence	Judgment [0-5]
123	Then I would never talk to that person about boa constrictors , or primeval forests , or stars .	我就不和他谈巨蟒呀，原始森林呀，或者星星之类的事。	5
124	So I lived my life alone , without anyone that I could really talk to , until I had an accident with my plane in the Desert of Sahara , six years ago .	我就这样孤独地生活着，没有一个能真正谈得来的人，一直到六年前在撒哈拉沙漠上发生了那次故障。	5
125	It was a question of life or death for me : I had scarcely enough drinking water to last a week .	这对我来说是个生与死的问题。 我随身带的水只够饮用一星期。	5
126	The first night , then , I went to sleep on the sand , a thousand miles from any human habitation .	第一天晚上我就睡在这远离人间烟火的大沙漠上。	4
127	I was more isolated than a shipwrecked sailor on a raft in the middle of the ocean .	我比大海中伏在小木排上的遇难者还要孤独得多。	4
128	Thus you can imagine my amazement , at sunrise , when I was awakened by an odd little voice .	而在第二天拂晓，当一个奇怪的小声音叫醒我的时候，你们可以想见我当时是多么吃惊。	5
129	It said : " If you please -- draw me a sheep ! "	这小小的声音说道：“请你给我画一只羊，好吗？”	4
130	I jumped to my feet , completely thunderstruck .	我象是受到惊雷轰击一般，一下子就站立起来。	5
131	And I saw a most extraordinary small person , who stood there examining me with great seriousness .	我看见一个十分奇怪的小家伙严肃地朝我凝眸望着。	4
132	Here you may see the best portrait that , later , I was able to make of him .	这是后来我给他画出来的最好的一副画像	5
133	That , however , is not my fault .	这不是我的过错。	4
134	When at last I was able to speak , I said to him : " But -- what are you doing here ? "	当我在惊讶之中终于又能说出话来的时候，对他说道：“唉，你在这儿干什么？”	3
135	And in answer he repeated , very slowly , as if he were speaking of a matter of great consequence : " If you please -- draw me a sheep ... "	可是他却不慌不忙地好象有一件重要的事一般，对我重复地说道：“请…给我画一只羊…”	5
136	When a mystery is too overpowering , one dare not disobey .	当一种神秘的东西把你镇住的时候，你是不敢不听从它的支配的，	5
137	But then I remembered how my studies had been concentrated on geography , history , arithmetic , and grammar , and I told the little chap ( a little crossly , too ) that I did not know how to draw .	这时我却又记起，我只学过地理、历史、算术和语法，就有点不大高兴地对小家伙说我不会画画。	4
138	What I need is a sheep .	我需要一只羊。	5
139	So then I made a drawing .	我就给他画了。	5
140	He looked at it carefully , then he said : " No .	他专心地看着，随后又说：“我不要，	4
141	Make me another . "	给我重新画一只。”	5
142	So I made another drawing .	我又画了起来。	5
143	This is a ram .	是头公羊，	5
144	So then I did my drawing over once more .	于是我又重新画了一张。	5
145	I want a sheep that will live a long time . "	我想要一只能活得长的羊。”	5
146	So I tossed off this drawing .	于是就草草画了这张画，	5
147	" This is only his box .	这是一只箱子，	4
148	Do you think that this sheep will have to have a great deal of grass ? "	你说这只羊需要很多草吗？”	5
149	" It is a very small sheep that I have given you . "	“我给你画的是一只很小的小羊，	5
150	 	他把脑袋靠近这张画。 “并不象你说的那么小…瞧！	5
